iter	Passed	Remaining
882	1845	244
883	1847	242
884	1849	240
885	1851	238
886	1853	236
887	1855	234
888	1857	231
889	1859	229
890	1862	227
891	1864	225
892	1866	223
893	1868	221
894	1870	219
895	1871	217
896	1873	215
897	1875	213
898	1877	210
899	1878	208
900	1880	206
901	1883	204
902	1884	202
903	1886	200
904	1888	198
905	1889	196
906	1891	193
907	1893	191
908	1894	189
909	1896	187
910	1898	185
911	1900	183
912	1903	181
913	1906	179
914	1908	177
915	1911	175
916	1913	173
917	1914	171
918	1916	168
919	1918	166
920	1920	164
921	1922	162
922	1923	160
923	1925	158
924	1926	156
925	1928	154
926	1931	152
927	1933	150
928	1935	147
929	1937	145
930	1939	143
931	1941	141
932	1944	139
933	1946	137
934	1949	135
935	1951	133
936	1953	131
937	1954	129
938	1956	127
939	1957	124
940	1959	122
941	1961	120
942	1963	118
943	1965	116
944	1967	114
945	1969	112
946	1970	110
947	1972	108
948	1975	106
949	1978	104
950	1980	102
951	1981	99
952	1983	97
953	1985	95
954	1987	93
955	1988	91
956	1990	89
957	1993	87
958	1994	85
959	1997	83
960	1999	81
961	2001	79
962	2003	76
963	2005	74
964	2007	72
965	2008	70
966	2010	68
967	2011	66
968	2013	64
969	2014	62
970	2017	60
971	2019	58
972	2021	56
973	2023	54
974	2026	51
975	2028	49
976	2030	47
977	2032	45
978	2033	43
979	2035	41
980	2037	39
981	2039	37
982	2041	35
983	2043	33
984	2046	31
985	2048	29
986	2050	27
987	2052	24
988	2054	22
989	2057	20
990	2059	18
991	2061	16
992	2063	14
993	2065	12
994	2067	10
995	2069	8
996	2071	6
997	2072	4
998	2075	2
999	2077	0
